What is the purpose of the 'dgram' module?,To create UDP servers and clients,To create TCP servers and clients,To interact with the file system,To allocate memory,To create UDP servers and clients,,,,,,
What is the purpose of the 'url' module?,To parse and format URLs,To create HTTP servers,To interact with the file system,To allocate memory,To parse and format URLs,,,,,,
What is the purpose of the 'querystring' module?,To parse and stringify query strings,To parse URLs,To interact with the file system,To allocate memory,To parse and stringify query strings,,,,,,
What is the purpose of the 'crypto' module?,To handle network requests,To perform cryptographic operations,To interact with the file system,To allocate memory,To perform cryptographic operations,,,,,,
What is the purpose of the 'zlib' module?,To compress and decompress data,To perform cryptographic operations,To interact with the file system,To allocate memory,To compress and decompress data,,,,,,
What is the purpose of the 'os' module?,To interact with the operating system,To compress and decompress data,To perform cryptographic operations,To allocate memory,To interact with the operating system,,,,,,
What is the purpose of the 'vm' module?,To create virtual machines,To interact with the operating system,To compress and decompress data,To allocate memory,To create virtual machines,,,,,,
What is the purpose of the 'worker_threads' module?,To create single-threaded applications,To create multi-threaded applications,To create virtual machines,To allocate memory,To create multi-threaded applications,,,,,,
What is the purpose of the 'async_hooks' module?,To track asynchronous resources,To create multi-threaded applications,To create virtual machines,To allocate memory,To track asynchronous resources,,,,,,
What is the purpose of the 'diagnostics_channel' module?,To create diagnostic channels,To track asynchronous resources,To create multi-threaded applications,To allocate memory,To create diagnostic channels,,,,,,
What is the purpose of the 'perf_hooks' module?,To measure performance metrics,To create diagnostic channels,To track asynchronous resources,To allocate memory,To measure performance metrics,,,,,,
What is the purpose of the 'trace_events' module?,To trace event execution,To measure performance metrics,To create diagnostic channels,To allocate memory,To trace event execution,,,,,,
What is the purpose of the 'v8' module?,To interact with the V8 JavaScript engine,To trace event execution,To measure performance metrics,To allocate memory,To interact with the V8 JavaScript engine,,,,,,
What is the purpose of the 'readline' module?,To read input from the console,To interact with the V8 JavaScript engine,To trace event execution,To allocate memory,To read input from the console,,,,,,
What is the purpose of the 'repl' module?,To create a Read-Eval-Print Loop,To read input from the console,To interact with the V8 JavaScript engine,To allocate memory,To create a Read-Eval-Print Loop,,,,,,
What is the purpose of the 'module' module?,To load and manage modules,To create a Read-Eval-Print Loop,To read input from the console,To allocate memory,To load and manage modules,,,,,,
What is the purpose of the 'require()' function?,To load a module,To create a module,To read input from the console,To allocate memory,To load a module,,,,,,
What is the purpose of the 'exports' object?,To export variables and functions from a module,To load a module,To create a module,To allocate memory,To export variables and functions from a module,,,,,,
What is the purpose of the 'module.exports' object?,To export a single value from a module,To export multiple values from a module,To load a module,To allocate memory,To export a single value from a module,,,,,,
What is the purpose of the 'global' object?,To access global variables and functions,To export modules,To load modules,To allocate memory,To access global variables and functions,,,,,,
What is the purpose of the 'process' object?,To access information about the current Node.js process,To access global variables,To export modules,To allocate memory,To access information about the current Node.js process,,,,,,
What is the purpose of the 'console' object?,To log messages to the console,To access process information,To export modules,To allocate memory,To log messages to the console,,,,,,
What is the purpose of the 'URL' class?,To parse and format URLs,To log messages,To access process information,To allocate memory,To parse and format URLs,,,,,,
What is the purpose of the 'URLSearchParams' class?,To work with query string parameters,To parse URLs,To log messages,To allocate memory,To work with query string parameters,,,,,,
What is the purpose of the 'Buffer' class?,To handle binary data,To work with query string parameters,To parse URLs,To allocate memory,To handle binary data,,,,,,
What is the purpose of the 'TextEncoder' class?,To encode strings into binary data,To handle binary data,To work with query string parameters,To allocate memory,To encode strings into binary data,,,,,,
What is the purpose of the 'TextDecoder' class?,To decode binary data into strings,To encode strings,To handle binary data,To allocate memory,To decode binary data into strings,,,,,,
What is the purpose of the 'FileHandle' class?,To interact with files,To decode binary data,To encode strings,To allocate memory,To interact with files,,,,,,
What is the purpose of the 'fs.promises' API?,To use promises with the 'fs' module,To interact with files using callbacks,To decode binary data,To allocate memory,To use promises with the 'fs' module,,,,,,
What is the purpose of the 'http.createServer()' function?,To create an HTTP server,To interact with files,To use promises,To allocate memory,To create an HTTP server,,,,,,
What is the purpose of the 'http.request()' function?,To make HTTP requests,To create an HTTP server,To use promises,To allocate memory,To make HTTP requests,,,,,,
What is the purpose of the 'express' module?,To create web applications,To make HTTP requests,To create HTTP servers,To allocate memory,To create web applications,,,,,,
What is the purpose of the 'socket.io' module?,To create real-time applications,To create web applications,To make HTTP requests,To allocate memory,To create real-time applications,,,,,,
What is the purpose of the 'ws' module?,To create WebSocket servers and clients,To create real-time applications,To create web applications,To allocate memory,To create WebSocket servers and clients,,,,,,
What is the purpose of the 'graphql' module?,To create GraphQL APIs,To create WebSocket servers,To create web applications,To allocate memory,To create GraphQL APIs,,,,,,
What is the purpose of the 'dotenv' module?,To load environment variables from a .env file,To create GraphQL APIs,To create WebSocket servers,To allocate memory,To load environment variables from a .env file,,,,,,
What is the purpose of the 'nodemon' module?,To automatically restart the server on file changes,To load environment variables,To create GraphQL APIs,To allocate memory,To automatically restart the server on file changes,,,,,,
What is the purpose of the 'pm2' module?,To manage and monitor Node.js applications in production,To automatically restart the server,To load environment variables,To allocate memory,To manage and monitor Node.js applications in production,,,,,,
What is the purpose of the 'jest' module?,To write and run tests,To manage Node.js applications,To automatically restart the server,To allocate memory,To write and run tests,,,,,,
What is the purpose of the 'mocha' module?,To write and run tests,To write and run tests using jest,To manage Node.js applications,To allocate memory,To write and run tests,,,,,,
What is the purpose of the 'chai' module?,To use assertion library for tests,To write and run tests using mocha,To write and run tests,To allocate memory,To use assertion library for tests,,,,,,
What is the purpose of the 'sinon' module?,To create stubs, mocks, and spies for tests,To use assertions,To write and run tests,To allocate memory,To create stubs, mocks, and spies for tests,,
What is the purpose of the 'nock' module?,To mock HTTP requests for tests,To create stubs, mocks, and spies,To use assertions,To allocate memory,To mock HTTP requests for tests,,,,
What is the purpose of the 'puppeteer' module?,To automate headless Chrome,To mock HTTP requests,To create stubs, mocks, and spies,To allocate memory,To automate headless Chrome,,,,
What is the purpose of the 'ioredis' module?,To interact with Redis,To automate headless Chrome,To mock HTTP requests,To allocate memory,To interact with Redis,,,,,,
What is the purpose of the 'mongoose' module?,To interact with MongoDB,To interact with Redis,To automate headless Chrome,To allocate memory,To interact with MongoDB,,,,,,
What is the purpose of the 'sequelize' module?,To interact with relational databases,To interact with MongoDB,To interact with Redis,To allocate memory,To interact with relational databases,,,,,,
What is the purpose of the 'passport' module?,To implement authentication,To interact with relational databases,To interact with MongoDB,To allocate memory,To implement authentication,,,,,,
What is the purpose of the 'jsonwebtoken' module?,To create and verify JSON Web Tokens,To implement authentication,To interact with relational databases,To allocate memory,To create and verify JSON Web Tokens,,,,,,
What is the purpose of the 'bcrypt' module?,To hash passwords,To create JSON Web Tokens,To implement authentication,To allocate memory,To hash passwords,,,,,,
What is the purpose of the 'nodemailer' module?,To send emails,To hash passwords,To create JSON Web Tokens,To allocate memory,To send emails,,,,,,
What is the purpose of the 'aws-sdk' module?,To interact with AWS services,To send emails,To hash passwords,To allocate memory,To interact with AWS services,,,,,,
What is the purpose of the 'axios' module?,To make HTTP requests from Node.js,To interact with AWS services,To send emails,To allocate memory,To make HTTP requests from Node.js,,,,,,
What is the purpose of the 'node-fetch' module?,To make HTTP requests using fetch API,To make HTTP requests using axios,To interact with AWS services,To allocate memory,To make HTTP requests using fetch API,,,,,,
What is the purpose of the 'form-data' module?,To create form data for HTTP requests,To make HTTP requests using fetch,To make HTTP requests using axios,To allocate memory,To create form data for HTTP requests,,,,,,
What is the purpose of the 'multer' module?,To handle file uploads,To create form data,To make HTTP requests using fetch,To allocate memory,To handle file uploads,,,,,,
What is the purpose of the 'sharp' module?,To process images,To handle file uploads,To create form data,To allocate memory,To process images,,,,,,
What is the purpose of the 'jimp' module?,To process images,To process images using sharp,To handle file uploads,To allocate memory,To process images,,,,,,
What is the purpose of the 'pdf-lib' module?,To create and modify PDF files,To process images,To process images using jimp,To allocate memory,To create and modify PDF files,,,,,,
What is the purpose of the 'uuid' module?,To generate UUIDs,To create PDF files,To process images,To allocate memory,To generate UUIDs,,,,,,
What is the purpose of the 'moment' module?,To parse, validate, manipulate, and display dates and times,To generate UUIDs,To create PDF files,To allocate memory,To parse, validate, manipulate, and display dates and times
What is the purpose of the 'lodash' module?,To provide utility functions,To parse dates and times,To generate UUIDs,To allocate memory,To provide utility functions,,,,,,
What is the purpose of the 'ramda' module?,To provide functional programming utilities,To provide utility functions using lodash,To parse dates and times,To allocate memory,To provide functional programming utilities,,,,,,
What is the purpose of the 'bluebird' module?,To provide promise utilities,To provide functional programming utilities,To provide utility functions using ramda,To allocate memory,To provide promise utilities,,,,,,
What is the purpose of the 'async' module?,To provide asynchronous control flow utilities,To provide promise utilities,To provide functional utilities,To allocate memory,To provide asynchronous control flow utilities,,,,,,
