Question,Option A,Option B,Option C,Option D,Correct Answer,,,,,,,,,,,,,,,
What is the syntax for creating an index in MongoDB?,db.collection.createIndex({field: 1}),db.collection.index({field: 1}),db.collection.create({index: {field: 1}}),"db.index({collection: ""collection""", field: 1}),db.collection.createIndex({field: 1}),,,,,,,,,,,,,,
What is a Compound Index in MongoDB?,An index on a single field,An index on multiple fields,An index on array fields,An index on geospatial data,An index on multiple fields,,,,,,,,,,,,,,,
What is a Multikey Index in MongoDB?,An index on a single field,An index on multiple fields,An index on array fields,An index on geospatial data,An index on array fields,,,,,,,,,,,,,,,
What is a Geospatial Index in MongoDB?,An index on a single field,An index on multiple fields,An index on array fields,An index on location data,An index on location data,,,,,,,,,,,,,,,
What is a Text Index in MongoDB?,An index on text fields,An index on numerical fields,An index on array fields,An index on geospatial data,An index on text fields,,,,,,,,,,,,,,,
What is a Hashed Index in MongoDB?,An index on hashed values,An index on text fields,An index on array fields,An index on geospatial data,An index on hashed values,,,,,,,,,,,,,,,
What is MongoDB Replication?,Copying data across multiple servers,Deleting data,Creating indexes,Running aggregation pipelines,Copying data across multiple servers,,,,,,,,,,,,,,,
What is a Replica Set in MongoDB?,A single MongoDB server,A group of MongoDB servers that maintain the same data set,A tool for data backup,A data visualization tool,A group of MongoDB servers that maintain the same data set,,,,,,,,,,,,,,,
What is the Primary node in a Replica Set?,A read-only node,A node that accepts all write operations,A backup node,A node for analytics,A node that accepts all write operations,,,,,,,,,,,,,,,
What are Secondary nodes in a Replica Set?,Nodes that accept write operations,Nodes that replicate data from the Primary node,Nodes for analytics,Nodes for backup,Nodes that replicate data from the Primary node,,,,,,,,,,,,,,,
What is MongoDB Sharding?,Dividing data across multiple servers,Copying data,Creating indexes,Running aggregation pipelines,Dividing data across multiple servers,,,,,,,,,,,,,,,
What is a Shard Key in MongoDB?,A key used for indexing,A key used for sharding data across shards,A key for data backup,A key for aggregation,A key used for sharding data across shards,,,,,,,,,,,,,,,
What is a Config Server in a Sharded Cluster?,A server that stores configuration metadata,A data storage server,A query router,A backup server,A server that stores configuration metadata,,,,,,,,,,,,,,,
What is a Mongos Router in a Sharded Cluster?,A data storage server,A query router,A config server,A backup server,A query router,,,,,,,,,,,,,,,
What is MongoDB Transactions?,A way to perform atomic operations,A method for data backup,A way to create indexes,A tool for aggregation,A way to perform atomic operations,,,,,,,,,,,,,,,
What are the ACID properties in MongoDB Transactions?,Atomicity, Consistency, Isolation, Durability, All of the above,All of the above,,,,,,,,,,,,,,
What is the syntax for starting a transaction in MongoDB?,session.startTransaction(),db.startTransaction(),startTransaction(),db.beginTransaction(),session.startTransaction(),,,,,,,,,,,,,,,
What is the syntax for committing a transaction in MongoDB?,session.commitTransaction(),db.commitTransaction(),commitTransaction(),db.endTransaction(),session.commitTransaction(),,,,,,,,,,,,,,,
What is the syntax for aborting a transaction in MongoDB?,session.abortTransaction(),db.abortTransaction(),abortTransaction(),db.rollbackTransaction(),session.abortTransaction(),,,,,,,,,,,,,,,
What is MongoDB Change Streams?,A way to watch for real-time data changes,A method for data backup,A way to create indexes,A tool for aggregation,A way to watch for real-time data changes,,,,,,,,,,,,,,,
What is the syntax for creating a Change Stream in MongoDB?,db.collection.watch([]),db.collection.changeStream([]),db.watch([]),db.changeStream([]),db.collection.watch([]),,,,,,,,,,,,,,,
What is MongoDB Atlas?,A cloud-hosted MongoDB service,A local MongoDB server,A MongoDB client tool,A MongoDB backup tool,A cloud-hosted MongoDB service,,,,,,,,,,,,,,,
What is MongoDB Compass?,A GUI for MongoDB,A MongoDB server,A MongoDB client library,A MongoDB backup service,A GUI for MongoDB,,,,,,,,,,,,,,,
What is MongoDB Stitch?,A serverless platform for MongoDB,A MongoDB client tool,A MongoDB backup tool,A MongoDB visualization tool,A serverless platform for MongoDB,,,,,,,,,,,,,,,
What is MongoDB Realm?,A mobile database platform for MongoDB,A MongoDB client tool,A MongoDB backup tool,A MongoDB visualization tool,A mobile database platform for MongoDB,,,,,,,,,,,,,,,
What is MongoDB GridFS?,A specification for storing and retrieving large files,A method for storing small documents,A way to create indexes,A tool for aggregation,A specification for storing and retrieving large files,,,,,,,,,,,,,,,
What is the syntax for storing a file in GridFS?,db.bucket('files').uploadFromStream('filename', stream),db.fs.upload('filename', stream),db.gridfs.upload('filename', stream),db.upload('files', stream),db.bucket('files').uploadFromStream('filename', stream),,,,,,,,,,
What is the syntax for retrieving a file from GridFS?,db.bucket('files').openDownloadStreamByName('filename'),db.fs.download('filename'),db.gridfs.download('filename'),db.download('files', 'filename'),db.bucket('files').openDownloadStreamByName('filename'),,,,,,,,,,,,,,
What is MongoDB TTL Indexes?,Indexes that automatically remove documents after a certain time,Indexes for text search,Indexes for geospatial data,Indexes for hashed values,Indexes that automatically remove documents after a certain time,,,,,,,,,,,,,,,
What is the syntax for creating a TTL Index?,db.collection.createIndex({dateField: 1}, {expireAfterSeconds: 3600}),db.collection.createIndex({dateField: 1}, {ttl: 3600}),db.collection.createTTLIndex({dateField: 1}, {seconds: 3600}),db.collection.create({index: {dateField: 1, ttl: 3600}}),db.collection.createIndex({dateField: 1}, {expireAfterSeconds: 3600}),,,,,,,,,,
What is MongoDB Atlas Search?,A full-text search service for MongoDB Atlas,A method for data backup,A way to create indexes,A tool for aggregation,A full-text search service for MongoDB Atlas,,,,,,,,,,,,,,,
What is MongoDB Atlas Charts?,A data visualization service for MongoDB Atlas,A method for data backup,A way to create indexes,A tool for aggregation,A data visualization service for MongoDB Atlas,,,,,,,,,,,,,,,
What is MongoDB Atlas Functions?,Serverless functions in MongoDB Atlas,A method for data backup,A way to create indexes,A tool for aggregation,Serverless functions in MongoDB Atlas,,,,,,,,,,,,,,,
What is MongoDB Atlas Triggers?,Automated actions in response to database events,A method for data backup,A way to create indexes,A tool for aggregation,Automated actions in response to database events,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Lake?,A service for querying data in cloud storage,A method for data backup,A way to create indexes,A tool for aggregation,A service for querying data in cloud storage,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Federation?,A service for querying data across multiple MongoDB deployments,A method for data backup,A way to create indexes,A tool for aggregation,A service for querying data across multiple MongoDB deployments,,,,,,,,,,,,,,,
What is MongoDB Atlas Device Sync?,A service for synchronizing data between mobile devices and MongoDB Atlas,A method for data backup,A way to create indexes,A tool for aggregation,A service for synchronizing data between mobile devices and MongoDB Atlas,,,,,,,,,,,,,,,
What is MongoDB Atlas App Services?,A platform for building and deploying mobile and web applications,A method for data backup,A way to create indexes,A tool for aggregation,A platform for building and deploying mobile and web applications,,,,,,,,,,,,,,,
What is MongoDB Atlas GraphQL API?,A GraphQL API for querying MongoDB Atlas data,A method for data backup,A way to create indexes,A tool for aggregation,A GraphQL API for querying MongoDB Atlas data,,,,,,,,,,,,,,,
What is MongoDB Atlas Data API?,A REST API for querying MongoDB Atlas data,A method for data backup,A way to create indexes,A tool for aggregation,A REST API for querying MongoDB Atlas data,,,,,,,,,,,,,,,
What is MongoDB Atlas Performance Advisor?,A tool to analyze and improve database performance,A method for data backup,A way to create indexes,A tool for aggregation,A tool to analyze and improve database performance,,,,,,,,,,,,,,,
What is MongoDB Atlas Query Profiler?,A tool to analyze query performance,A method for data backup,A way to create indexes,A tool for aggregation,A tool to analyze query performance,,,,,,,,,,,,,,,
What is MongoDB Atlas Real-Time Performance Panel?,A dashboard for monitoring real-time performance,A method for data backup,A way to create indexes,A tool for aggregation,A dashboard for monitoring real-time performance,,,,,,,,,,,,,,,
What is MongoDB Atlas Alerting?,A system for notifying users of database events,A method for data backup,A way to create indexes,A tool for aggregation,A system for notifying users of database events,,,,,,,,,,,,,,,
What is MongoDB Atlas Backup?,A service for backing up and restoring MongoDB Atlas data,A method for querying data,A way to create indexes,A tool for aggregation,A service for backing up and restoring MongoDB Atlas data,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Explorer?,A tool for browsing and querying MongoDB Atlas data,A method for backing up data,A way to create indexes,A tool for aggregation,A tool for browsing and querying MongoDB Atlas data,,,,,,,,,,,,,,,
What is MongoDB Atlas Schema Visualization?,A tool for visualizing and managing database schemas,A method for backing up data,A way to create indexes,A tool for aggregation,A tool for visualizing and managing database schemas,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Validation?,A feature for enforcing data integrity,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for enforcing data integrity,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Masking?,A feature for obfuscating sensitive data,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for obfuscating sensitive data,,,,,,,,,,,,,,,
What is MongoDB Atlas Data Encryption?,A feature for encrypting data at rest and in transit,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for encrypting data at rest and in transit,,,,,,,,,,,,,,,
What is MongoDB Atlas Network Peering?,A feature for connecting MongoDB Atlas to other cloud networks,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for connecting MongoDB Atlas to other cloud networks,,,,,,,,,,,,,,,
What is MongoDB Atlas Private Endpoints?,A feature for accessing MongoDB Atlas over a private network,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for accessing MongoDB Atlas over a private network,,,,,,,,,,,,,,,
What is MongoDB Atlas Global Clusters?,A feature for distributing data across multiple geographic regions,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for distributing data across multiple geographic regions,,,,,,,,,,,,,,,
What is MongoDB Atlas Serverless Instances?,A feature for running MongoDB instances without managing servers,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for running MongoDB instances without managing servers,,,,,,,,,,,,,,,
What is MongoDB Atlas Vector Search?,A feature for performing vector similarity searches,A method for backing up data,A way to create indexes,A tool for aggregation,A feature for performing vector similarity searches,,,,,,,,,,,,,,,
